project_id,project_name,donor,implementing_partner,country,province,district,village,gps_lat,gps_long,household_id,gender_head,household_size,children_u5,pregnant_lactating,disability_status,displacement_status,assessment_date,food_security_score,wash_access_score,nutrition_risk_score,priority_level,vulnerability_category,targeted,registration_date,sector,modality,distribution_date,assistance_type,assistance_value_usd,received_assistance,quantity_received,distribution_complete,post_food_security_score,post_wash_access_score,outcome_change,pdm_date,satisfaction_level,used_as_intended,coping_strategy_index,reported_issues,complaint_submitted,complaint_type,resolved,resolution_time_days,enumerator_id,data_collection_tool,survey_round,submission_timestamp
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Kabul,Kabul City,Village-7,35.3534,71.67654,HH-10000,Male,12,3,Yes,Yes,IDP,2024-05-20,34,43,2,Low,Moderate,Yes,2024-05-20,Food Security,In-kind,2024-06-04,Multi-purpose assistance,80,Yes,5,Yes,43,73,9,2024-07-04,3,Yes,23,Minor delay,No,,,,EN-26,Kobo,Baseline,2024-05-21 21:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Balkh,Dihdadi,Village-6,34.75985,70.07694,HH-10001,Female,12,2,Yes,No,Returnee,2024-05-22,33,64,1,Medium,Extreme,Yes,2024-05-22,Protection,Voucher,2024-06-06,Multi-purpose assistance,150,Yes,5,Yes,48,88,15,2024-06-30,4,No,11,Quantity issue,Yes,Exclusion,Yes,4,EN-22,Kobo,Endline,2024-05-22 6:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Herat,Injil,Village-11,34.74036,69.62852,HH-10002,Female,4,4,Yes,No,Host,2024-07-13,49,45,2,Medium,High,Yes,2024-07-13,WASH,In-kind,2024-07-28,Multi-purpose assistance,150,Yes,5,Yes,74,67,25,2024-08-29,4,Yes,12,None,No,,,,EN-26,SurveyCTO,Endline,2024-07-13 18:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Kabul,Kabul City,Village-32,34.79126,71.74364,HH-10003,Female,5,2,Yes,Yes,Host,2024-10-17,40,65,5,Medium,Moderate,Yes,2024-10-17,Protection,Voucher,2024-11-01,Multi-purpose assistance,150,Yes,4,Yes,51,71,11,2025-01-11,3,Yes,21,Minor delay,No,,,,EN-3,Kobo,Baseline,2024-10-17 10:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Herat,Obe,Village-39,35.99224,70.58734,HH-10004,Male,4,4,No,No,Returnee,2024-08-04,24,37,3,Medium,Extreme,Yes,2024-08-04,Health,Cash,2024-08-19,Multi-purpose assistance,150,Yes,3,Yes,41,76,17,2024-10-11,3,No,8,Quantity issue,No,,,,EN-10,Kobo,Baseline,2024-08-05 0:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Herat,Obe,Village-32,34.03895,71.7873,HH-10005,Female,6,0,Yes,No,IDP,2024-09-28,20,35,4,High,Moderate,Yes,2024-09-28,Nutrition,Cash,2024-10-13,Multi-purpose assistance,150,Yes,4,Yes,44,90,24,2024-12-25,3,Yes,21,Quantity issue,No,,,,EN-14,Kobo,Baseline,2024-09-29 22:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Nangarhar,Surkh Rod,Village-16,34.44939,70.01426,HH-10006,Male,12,1,Yes,Yes,Host,2024-07-10,53,70,1,High,Extreme,Yes,2024-07-10,Food Security,Voucher,2024-07-25,Multi-purpose assistance,80,Yes,5,Yes,72,67,19,2024-09-06,4,No,20,None,Yes,,Yes,7,EN-24,SurveyCTO,Baseline,2024-07-11 7:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Balkh,Mazar-e-Sharif,Village-27,34.93405,71.18723,HH-10007,Male,3,3,No,Yes,IDP,2024-02-18,47,42,2,Low,High,Yes,2024-02-18,Nutrition,Voucher,2024-03-04,Multi-purpose assistance,80,Yes,3,Yes,63,74,16,2024-03-25,3,Yes,19,Quantity issue,No,,,,EN-4,Kobo,Baseline,2024-02-18 6:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Herat,Injil,Village-4,34.32927,69.00647,HH-10008,Female,7,3,No,No,Host,2024-07-27,50,65,4,High,Extreme,Yes,2024-07-27,WASH,Cash,2024-08-11,Multi-purpose assistance,80,Yes,5,Yes,61,83,11,2024-09-26,2,No,15,None,No,,,,EN-2,SurveyCTO,Baseline,2024-07-27 4:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Kabul,Kabul City,Village-8,35.88319,70.70903,HH-10009,Male,12,0,No,No,Host,2024-02-05,24,66,5,Medium,High,Yes,2024-02-05,Nutrition,In-kind,2024-02-20,Multi-purpose assistance,150,Yes,3,Yes,36,67,12,2024-04-13,4,Yes,9,Quantity issue,No,,,,EN-21,SurveyCTO,Endline,2024-02-05 21:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Kabul,Kabul City,Village-35,34.42631,69.7956,HH-10010,Female,4,1,No,No,IDP,2024-08-22,56,58,5,Low,High,Yes,2024-08-22,Protection,In-kind,2024-09-06,Multi-purpose assistance,150,Yes,1,Yes,64,81,8,2024-10-30,4,No,8,None,Yes,Delay,Yes,6,EN-29,Kobo,Baseline,2024-08-22 18:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Nangarhar,Kama,Village-41,35.70583,70.51623,HH-10011,Female,3,0,No,No,IDP,2024-04-17,41,30,3,High,Moderate,Yes,2024-04-17,WASH,Cash,2024-05-02,Multi-purpose assistance,150,Yes,4,Yes,52,77,11,2024-07-01,5,No,5,None,No,,,,EN-3,Kobo,Baseline,2024-04-18 0:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Herat,Guzara,Village-23,34.42015,69.74859,HH-10012,Male,8,4,No,No,Host,2024-03-06,39,39,2,High,Extreme,Yes,2024-03-06,Health,Cash,2024-03-21,Multi-purpose assistance,80,Yes,3,Yes,55,85,16,2024-04-07,5,No,12,Minor delay,Yes,Quality,Yes,28,EN-23,Kobo,Endline,2024-03-06 3:00:00
AFG-HRP-2024-01,Integrated Humanitarian Response Program,ECHO / UN pooled funds,International NGO XYZ,Afghanistan,Balkh,Mazar-e-Sharif,Village-15,34.44585,70.9801,HH-10013,Female,8,2,Yes,No,Returnee,2024-04-12,49,62,4,Low,Moderate,Yes,2024-04-12,WASH,Cash,2024-04-27,Multi-purpose assistance,80,Yes,3,Yes,65,65,16,2024-07-03,4,Yes,8,Quantity issue,No,,,,EN-14,SurveyCTO,Endline,2024-04-13 4:00:00
